date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,device_type,operating_system,views,watch_time_minutes,average_view_duration_seconds,average_view_duration_percentage,red_views,red_watch_time_minutes
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,RZKE4dZXjyo,live,subscribed,IN,101,2,11,349.0897,1904.1256363636364,44.364530204185378,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,qRtTviVbCUQ,on_demand,subscribed,IN,101,2,2,0.06615,1.9845,0.053780487804878048,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,Lwrw6qSBwog,on_demand,subscribed,IN,104,4,2,1.1383333333333334,34.15,56.916666666666664,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,w7Byq3gO_iA,live,not_subscribed,KW,104,4,1,0.66166666666666663,39.7,1.0156050140700947,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,Wv75UHokN4I,on_demand,subscribed,IN,101,2,1,0.51298333333333335,30.779,1.476919385796545,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,RZKE4dZXjyo,on_demand,not_subscribed,IN,104,4,4,2.0833333333333335,31.25,0.72809878844361609,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,fUTGqkSHVJ4,on_demand,subscribed,IN,104,4,2,9.615,288.45,18.32592121982211,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,SsckOy4uuBc,on_demand,subscribed,IN,104,4,1,0.205,12.3,58.571428571428569,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,syC15Me4YEM,on_demand,subscribed,IN,104,4,1,4.0766666666666671,244.6,4.9444107539923188,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,cQmBTdNpqOY,on_demand,not_subscribed,IN,104,4,1,0.31,18.6,84.545454545454547,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,w7Byq3gO_iA,live,subscribed,IN,101,2,3,67.3409,1346.818,34.454284983371707,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,KeH5IoPlyQQ,on_demand,not_subscribed,IN,104,4,2,0.43333333333333335,13,41.935483870967744,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,K-8KYIyhIjA,on_demand,subscribed,IN,105,4,1,0.11,6.6,110,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,mZohXjuZJTY,on_demand,not_subscribed,IN,104,4,1,0.21166666666666667,12.7,97.6923076923077,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,BCFoX358Mn4,on_demand,not_subscribed,IN,104,4,2,0.31166666666666665,9.35,0.20662983425414364,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,IDeR06ieouo,on_demand,not_subscribed,IN,104,4,1,0.79333333333333333,47.6,190.4,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,-W4RgHBKOJo,on_demand,subscribed,IN,104,4,1,1.4683333333333333,88.1,1.1953867028493894,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,LikxQO7ZATI,on_demand,not_subscribed,IN,104,4,4,92.115,1381.725,19.203961084086171,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,a68AZYVb4cs,on_demand,not_subscribed,VN,101,2,1,0.81353333333333333,48.812,1.9618971061093247,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,yAK30PBHBeE,on_demand,not_subscribed,IN,104,4,1,0.485,29.1,0.34721393628445291,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,KTc0Qerkb0Q,on_demand,not_subscribed,IN,105,4,2,2.1133333333333333,63.4,3.3509513742071881,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,02vBPWml_jY,on_demand,subscribed,IN,104,4,1,0,0,0,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,w7Byq3gO_iA,on_demand,not_subscribed,IN,104,4,6,6.2316666666666665,62.316666666666663,1.5941843608766095,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,a68AZYVb4cs,live,subscribed,IN,101,2,2,43.602783333333335,1308.0835,52.575703376205787,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,INeL1FIeIGI,on_demand,subscribed,IN,104,4,1,0.085,5.1,10,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,w7Byq3gO_iA,on_demand,not_subscribed,IN,104,5,1,0.15133333333333332,9.08,0.23228447173190075,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,fUTGqkSHVJ4,on_demand,not_subscribed,LK,104,4,1,0.16666666666666666,10,0.63532401524777637,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,9_VmWS0JaIg,live,subscribed,IN,105,4,2,3.6733333333333333,110.2,4.1647770219198792,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,9_VmWS0JaIg,live,subscribed,IN,104,4,5,5.0966666666666667,61.160000000000004,2.3114134542705971,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,sKLLlQs3JWg,on_demand,not_subscribed,IN,104,4,1,0.27666666666666667,16.6,0.53617571059431524,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,qRtTviVbCUQ,on_demand,not_subscribed,IN,102,4,1,1.18505,71.103,1.9269105691056911,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,FNGsfWcr5JA,on_demand,not_subscribed,IN,104,4,31,149.45305,289.26396774193552,3.996462665680236,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,a68AZYVb4cs,on_demand,not_subscribed,IN,104,4,36,56.455233333333332,94.092055555555547,3.7818350303679886,0,0
20240103,UC7zbbglcdBEvi9C3W_K7DCQ,RZKE4dZXjyo,on_demand,not_subscribed,IN,101,2,3,2.2014,44.028,1.0258154706430569,0,0
