date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,playback_location_type,playback_location_detail,views,watch_time_minutes,average_view_duration_seconds,average_view_duration_percentage,red_views,red_watch_time_minutes
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,7U8uwyEQmLo,on_demand,not_subscribed,IN,0,unknown,1,0.49,29.4,0.39194774030129315,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,04QqLv1c3eI,on_demand,not_subscribed,IN,7,what-to-watch,5,15.312066666666666,183.7448,6.2562070139598234,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,ByuP6kA5_8g,on_demand,not_subscribed,IN,0,unknown,3,49.412216666666666,988.24433333333343,35.332296508163509,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,zEp69x1Q7M8,on_demand,not_subscribed,IN,7,what-to-watch,3,0.94135,18.827,0.55406121247792817,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,6JUDzr3TZ6Y,on_demand,not_subscribed,IN,0,unknown,4,1.7866666666666666,26.8,1.6708229426433916,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,Lwrw6qSBwog,on_demand,not_subscribed,IN,10,unknown,1,0.9575,57.45,95.75,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,NA_-2wpSdrY,live,not_subscribed,IN,7,what-to-watch,1,0.6333333333333333,38,1.0354223433242506,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,lijG3JhJQXY,live,subscribed,IN,0,unknown,43,123.82166666666667,172.77441860465117,4.6924068062099717,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,RBLhTDVynUg,on_demand,not_subscribed,IN,0,unknown,2,0.27666666666666667,8.3,0.22216274089935761,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,ng0sDjiDITc,on_demand,subscribed,IN,7,/my_subscriptions,1,0.2,12,0.24783147459727387,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,axepBIHubhc,on_demand,subscribed,IN,10,unknown,1,0.068333333333333329,4.1,8.5416666666666661,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,04QqLv1c3eI,on_demand,subscribed,IN,0,unknown,1,3.6333333333333333,218,7.42254000680967,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,gWT4-TkWHss,on_demand,subscribed,IN,10,unknown,2,0.13333333333333333,4,9.30232558139535,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,DJpKXlCAR5Q,on_demand,subscribed,IN,10,unknown,1,0.62333333333333329,37.4,207.77777777777777,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,lijG3JhJQXY,on_demand,subscribed,IN,0,unknown,14,41.436016666666667,177.58292857142857,4.8230018623418953,7,35.726016666666666
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,pbZdZJ14J2M,on_demand,not_subscribed,IN,0,unknown,6,19.288266666666665,192.88266666666667,6.988502415458937,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,KeH5IoPlyQQ,on_demand,subscribed,IN,10,unknown,1,0.10833333333333334,6.5,20.967741935483872,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,pwZusqmNVTE,on_demand,subscribed,IN,0,unknown,1,1.6133333333333333,96.8,1.7882874561241455,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,mZohXjuZJTY,on_demand,subscribed,IN,10,unknown,1,0.23166666666666666,13.9,106.92307692307692,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,NA_-2wpSdrY,live,subscribed,IN,0,unknown,35,24.455,41.92285714285714,1.1423121837290775,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,IDeR06ieouo,on_demand,subscribed,IN,10,unknown,1,0.42,25.2,100.8,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,ng0sDjiDITc,on_demand,not_subscribed,IN,7,what-to-watch,6,2.21205,22.120500000000003,0.45684634448574968,0,0
20231213,UC7zbbglcdBEvi9C3W_K7DCQ,7Pb-wiDGWiQ,on_demand,subscribed,IN,10,unknown,1,0.068333333333333329,4.1,27.333333333333332,0,0
