date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,sharing_service,shares
20231227,UC7zbbglcdBEvi9C3W_K7DCQ,rm92-cBWkuE,on_demand,subscribed,IN,49,1
20231227,UC7zbbglcdBEvi9C3W_K7DCQ,Op89IbOgp4s,on_demand,subscribed,IN,49,1
20231227,UC7zbbglcdBEvi9C3W_K7DCQ,syC15Me4YEM,live,subscribed,IN,55,1
20231227,UC7zbbglcdBEvi9C3W_K7DCQ,lijG3JhJQXY,on_demand,subscribed,IN,49,1
20231227,UC7zbbglcdBEvi9C3W_K7DCQ,aXkTv0adU7o,live,subscribed,IN,55,1
20231227,UC7zbbglcdBEvi9C3W_K7DCQ,syC15Me4YEM,on_demand,subscribed,IN,49,1
20231227,UC7zbbglcdBEvi9C3W_K7DCQ,2icgivhWB0U,on_demand,subscribed,IN,49,1
date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,sharing_service,shares
20231228,UC7zbbglcdBEvi9C3W_K7DCQ,-k2t7x9f_gk,on_demand,not_subscribed,IN,49,1
20231228,UC7zbbglcdBEvi9C3W_K7DCQ,XpGGcvIW0Jk,live,subscribed,IN,109,1
20231228,UC7zbbglcdBEvi9C3W_K7DCQ,OCosxGEstYM,on_demand,subscribed,IN,55,1
20231228,UC7zbbglcdBEvi9C3W_K7DCQ,gwqTwGMRRwE,live,subscribed,IN,53,1
