date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,playback_location_type,traffic_source_type,device_type,operating_system,views,watch_time_minutes,average_view_duration_seconds,average_view_duration_percentage,red_views,red_watch_time_minutes
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,Wv75UHokN4I,on_demand,subscribed,IN,0,18,104,4,1,0.27333333333333332,16.4,0.78694817658349325,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,OCosxGEstYM,on_demand,not_subscribed,IN,0,5,104,4,8,4.0383333333333331,30.2875,1.39831486611265,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,CNWZDlab8r0,live,not_subscribed,IN,0,3,102,1,1,103.39078333333333,6203.447,91.280856386109477,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,D3cyh2uj2nA,live,not_subscribed,IN,0,3,105,4,2,0.36166666666666669,10.85,0.2436559622726252,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,aXkTv0adU7o,on_demand,not_subscribed,IN,0,3,101,2,3,2.72755,54.550999999999995,0.76984194185718313,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,FpI_cVtlrgk,live,subscribed,IN,0,17,104,4,2,0.8,24,0.38929440389294406,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,CNWZDlab8r0,on_demand,not_subscribed,IN,0,4,104,4,2,0.96225,28.8675,0.4247719246615656,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,aXkTv0adU7o,on_demand,not_subscribed,IN,7,3,101,2,4,1.0692166666666667,16.03825,0.22633714366356195,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,c_k07vQ6zP8,on_demand,subscribed,IN,0,3,101,2,1,0.8416,50.496,0.73738317757009342,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,c_k07vQ6zP8,on_demand,not_subscribed,IN,0,4,105,5,1,2.99075,179.445,2.62040011682243,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,c_k07vQ6zP8,on_demand,subscribed,IN,7,3,101,2,1,0.5789333333333333,34.736,0.50724299065420564,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,D3cyh2uj2nA,live,subscribed,IN,0,4,101,13,1,2.01985,121.191,2.721558499887716,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,FpI_cVtlrgk,on_demand,not_subscribed,US,7,3,104,5,1,0.23116666666666666,13.87,0.22497972424979723,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,FpI_cVtlrgk,on_demand,subscribed,IN,0,4,101,2,2,1.4802166666666667,44.4065,0.72030008110300081,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,FpI_cVtlrgk,live,not_subscribed,KW,0,3,104,4,1,1.6,96,1.5571776155717763,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,9O589BsrFqE,on_demand,not_subscribed,IN,0,5,104,4,1,0.1,6,0.047793531942010511,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,MBq8uE2jMhE,on_demand,not_subscribed,CA,0,4,104,4,1,0.32833333333333331,19.7,0.47990255785627284,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,CNWZDlab8r0,live,not_subscribed,IN,0,3,105,4,1,0.3,18,0.26486168334314303,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,bMqVJHbD-0Q,on_demand,not_subscribed,IN,0,7,104,4,1,0.38166666666666665,22.9,0.47698396167465112,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,onrdU8yrOxI,on_demand,not_subscribed,IN,0,3,101,2,1,0.10578333333333333,6.347,0.27923449186097671,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,CNWZDlab8r0,live,not_subscribed,IN,0,3,104,4,6,11.41,114.10000000000001,1.6789287816362566,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,0iPRoW79OIQ,on_demand,subscribed,IN,0,5,104,4,1,0.8666666666666667,52,1.8036767256330211,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,CNWZDlab8r0,live,not_subscribed,IN,7,3,104,4,1,0.58166666666666667,34.9,0.51353737492642726,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,OCosxGEstYM,on_demand,not_subscribed,SE,7,3,104,4,1,0.21333333333333335,12.8,0.59095106186518931,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,FpI_cVtlrgk,on_demand,subscribed,IN,7,3,102,4,1,0.45226666666666665,27.136,0.44016220600162204,0,0
